Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Total_Floors
29-06-2022,2,25000,1050,1,Carpet Area,"Sahapur, New Alipore",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
16-05-2022,1,25000,320,2,Super Area,"Shaheen Apartment, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,7
14-06-2022,2,70000,750,4,Carpet Area,Santacruz West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,10
26-05-2022,1,45000,450,7,Carpet Area,"Rose Queen, Old Khar",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,10
27-05-2022,3,75000,1100,2,Carpet Area,"Sabari Palm View, Chembur",Mumbai,Unfurnished,Family,3,Contact Agent,13
07-06-2022,1,14000,640,6,Super Area,Mira Road,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,7
20-06-2022,1,60000,650,4,Super Area,"Siddhivinayak, Bandra West",Mumbai,Unfurnished,Bachelors,1,Contact Agent,7
20-06-2022,2,160000,800,14,Carpet Area,parivar safalya chs,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,14
07-07-2022,4,300000,1600,43,Carpet Area,"Trump Tower, Worli",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,78
08-06-2022,1,22000,460,2,Super Area,Sion,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,8
07-07-2022,4,130000,1650,13,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,18
02-06-2022,1,33000,480,2,Carpet Area,Sion Hospital Colony,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,4
27-05-2022,1,32000,500,1,Carpet Area,Sion,Mumbai,Furnished,Bachelors,2,Contact Agent,4
08-07-2022,1,30000,490,2,Carpet Area,"Sion East, Sion",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,4
12-06-2022,1,49000,620,2,Super Area,"Sai Palace Apartment, Vile Parle West",Mumbai,Furnished,Bachelors/Family,1,Contact Owner,3
10-05-2022,2,28000,518,5,Carpet Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,12
13-05-2022,2,33500,700,4,Carpet Area,"Yogi Hills, Mulund West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,7
09-07-2022,2,85000,777,18,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,24
06-07-2022,2,35000,650,6,Carpet Area,Charkop,Mumbai,Unfurnished,Family,2,Contact Agent,7
21-06-2022,3,270000,1800,3,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,7
04-07-2022,5,400000,2308,17,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,5,Contact Agent,31
09-07-2022,1,21000,425,11,Carpet Area,"Godrej Tranquil, Kandivali East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,21
25-05-2022,2,150000,890,7,Carpet Area,Cuffe Parade,Mumbai,Unfurnished,Bachelors,2,Contact Owner,19
05-06-2022,1,22000,270,14,Super Area,Mahim West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,23
01-07-2022,2,100000,850,4,Carpet Area,Prabhadevi,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,7
09-07-2022,2,60000,888,9,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,20
02-06-2022,2,8000,650,Upper Basement ,Carpet Area,"Nakoda Heights, Nalasopara",Mumbai,Semi-Furnished,Family,2,Contact Agent,9
27-06-2022,1,20000,275,19,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors,1,Contact Agent,24
14-06-2022,2,20000,700,3,Carpet Area,"Man Opus, Kashimira",Mumbai,Semi-Furnished,Family,2,Contact Agent,21
20-06-2022,1,25000,375,1,Super Area,Lal Baug,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,22
14-05-2022,1,14000,424,3,Super Area,Malad East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,7
04-06-2022,1,19411,400,8,Super Area,Goregaon West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,8
11-06-2022,1,23000,450,6,Carpet Area,"Dheeraj Hill View Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,12
09-07-2022,4,190000,2079,4,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,58
13-06-2022,2,32000,586,Ground ,Super Area,"Everard Nagar Co Operative Housing Society, Sion East",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
04-05-2022,2,68000,610,1,Carpet Area,shivsagar,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,5
22-05-2022,1,30000,488,Upper Basement ,Carpet Area,"Kyraa Ariso Apartment, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,16
31-05-2022,3,110000,1200,60,Carpet Area,"Lodha Azzuro , Parel",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,66
09-07-2022,2,44000,722,34,Carpet Area,"Sheth Montana, Mulund West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,48
25-05-2022,1,20000,450,5,Carpet Area,"Gokul Regency Apartment, Thakur Complex",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,8
12-06-2022,1,25000,500,2,Super Area,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,8
09-07-2022,2,40000,680,5,Carpet Area,"NG Royal Park, Kanjurmarg East",Mumbai,Furnished,Bachelors,2,Contact Agent,14
09-07-2022,2,43000,1150,14,Carpet Area,"Montana Giona, Moti Nagar",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,40
22-06-2022,2,44000,830,2,Carpet Area,"Sapphire Heights, Lokhandwala Twp",Mumbai,Furnished,Bachelors,2,Contact Agent,2
23-05-2022,1,75000,550,5,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,7
14-05-2022,1,32000,470,6,Carpet Area,Central Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,7
07-07-2022,1,16000,410,9,Carpet Area,Mira Bhayandar,Mumbai,Semi-Furnished,Family,2,Contact Agent,22
07-07-2022,2,65000,710,11,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,14
27-05-2022,2,45000,750,12,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,18
12-06-2022,2,57000,800,6,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,7
01-07-2022,1,27000,435,3,Carpet Area,Film City Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,7
30-05-2022,1,57000,500,26,Carpet Area,"Lodha New Cuffe Parade, Wadala",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,44
20-06-2022,2,55000,800,1,Carpet Area,"Evershine Grandeur, Mindspace",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,8
15-06-2022,1,40000,540,2,Carpet Area,Vile Parle East,Mumbai,Semi-Furnished,Family,2,Contact Agent,4
07-07-2022,2,95000,1050,25,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,42
30-06-2022,2,85000,700,25,Carpet Area,"Lodha New Cuffe Parade, Wadala",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,41
25-06-2022,4,300000,1600,53,Carpet Area,"Trump Tower, Worli",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,78
29-06-2022,2,80000,600,2,Carpet Area,Breach Candy,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,5
23-06-2022,1,13000,300,Ground ,Super Area,Malad West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,7
15-05-2022,1,28000,550,3,Carpet Area,"Ambika Siddhi Apartment, Ghatkopar",Mumbai,Unfurnished,Bachelors,2,Contact Owner,4
06-07-2022,3,89000,932,14,Carpet Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,20
27-05-2022,1,28000,450,13,Carpet Area,Dina Bama Estate,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,20
16-05-2022,2,13000,600,2,Carpet Area,Mira Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,4
04-07-2022,1,24000,424,16,Carpet Area,"Sethia Kalpavruksh Heights, Irani Wada",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,23
06-07-2022,2,38000,560,Ground ,Carpet Area,Andheri East,Mumbai,Furnished,Bachelors,2,Contact Owner,3
04-06-2022,1,32000,450,10,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,18
14-05-2022,4,350000,3000,39,Carpet Area,"Lodha World Crest, Lower Parel",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,60
06-06-2022,1,40000,600,3,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,2,Contact Agent,7
27-05-2022,3,150000,1400,16,Carpet Area,darshan ricco Tower,Mumbai,Furnished,Bachelors,3,Contact Agent,21
09-07-2022,2,45000,630,10,Carpet Area,Kanjurmarg West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,32
02-07-2022,3,170000,1400,4,Carpet Area,Khar West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,8
31-05-2022,1,30000,320,12,Super Area,Worli,Mumbai,Furnished,Family,1,Contact Owner,24
24-06-2022,2,210000,1000,4,Carpet Area,Bandra West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,8
06-07-2022,3,75000,1150,32,Carpet Area,"Kanakia Levels, Malad East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,41
09-07-2022,2,47000,751,3,Carpet Area,"Kalpataru Towers, Akurli Nagar",Mumbai,Semi-Furnished,Family,2,Contact Agent,30
20-06-2022,2,14000,570,4,Carpet Area,"Kailash Tower, Nalasopara",Mumbai,Furnished,Family,2,Contact Agent,7
06-07-2022,2,55000,696,13,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,21
09-07-2022,4,120000,1600,9,Carpet Area,"Anant Bhoomi, Mahavir Nagar",Mumbai,Unfurnished,Family,4,Contact Agent,29
06-07-2022,3,300000,2500,47,Carpet Area,"India Bulls Sky Forest, Lower Parel",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,89
06-07-2022,3,70000,1150,7,Carpet Area,"Kanakia Levels, Malad East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,41
03-06-2022,3,150000,1500,7,Carpet Area,"Almeida Park, Turner Road",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,10
16-06-2022,3,62000,950,6,Carpet Area,Bhakti Park,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,7
18-05-2022,2,42000,750,11,Carpet Area,"RNA ROYALE PARK, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,21
23-05-2022,2,130000,715,5,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,10
14-05-2022,3,170000,1337,28,Carpet Area,"Oberoi Splendor Grande, Agarkar Chowk",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,30
27-06-2022,3,20000,737,13,Carpet Area,"Ekta Parksville, Virar West",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent,15
18-05-2022,2,41000,750,6,Carpet Area,"RNA ROYALE PARK, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,21
03-06-2022,2,65000,760,4,Carpet Area,Prabhadevi,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,7
17-06-2022,2,50000,750,8,Carpet Area,"Green Park Apartment, Millat Nagar",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,16
01-07-2022,2,85000,650,2,Carpet Area,Breach Candy,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,6
31-05-2022,2,50000,1000,4,Super Area,Ghatkopar East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,7
28-04-2022,1,30000,570,Ground ,Carpet Area,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,3
04-07-2022,2,120000,900,5,Carpet Area,"Beach Towers, Prabhadevi",Mumbai,Semi-Furnished,Family,2,Contact Agent,19
09-07-2022,2,60000,760,3,Carpet Area,"Kolte Patil Jai Vijay, New Airport Colony",Mumbai,Unfurnished,Family,2,Contact Agent,11
09-07-2022,3,110000,1500,17,Carpet Area,"Lodha New Cuffe Parade, Bhakti Park",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,42
04-07-2022,3,84500,1150,10,Carpet Area,Chembur East,Mumbai,Unfurnished,Family,3,Contact Agent,12
20-06-2022,3,80000,1100,8,Carpet Area,"HDIL Metropolis, 4 Bunglows",Mumbai,Semi-Furnished,Family,3,Contact Agent,28
18-05-2022,3,50000,1000,9,Carpet Area,"Heena Gaurav Jewels, Gokuldham",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,15
13-06-2022,2,40000,720,14,Carpet Area,shabri shan,Mumbai,Unfurnished,Bachelors,2,Contact Agent,22
09-07-2022,1,34000,365,18,Carpet Area,Malad East,Mumbai,Furnished,Family,1,Contact Agent,40
09-07-2022,4,220000,2000,9,Carpet Area,Juhu Tara,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,17
07-07-2022,1,25000,400,2,Carpet Area,"Mindspace, Mindspace",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,13
17-05-2022,3,150000,1330,12,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,45
04-06-2022,3,85000,850,25,Carpet Area,"Oberoi Woods, Goregaon East",Mumbai,Semi-Furnished,Family,3,Contact Agent,35
25-06-2022,4,180000,2000,4,Carpet Area,"Vertical Bliss, Bandra West",Mumbai,Furnished,Bachelors/Family,5,Contact Agent,14
14-05-2022,2,40000,700,2,Carpet Area,Sher E Punjab Society,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,6
28-05-2022,2,50000,900,7,Carpet Area,Oshiwara,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,15
09-07-2022,2,38000,650,10,Carpet Area,"Nirmal Lifestyle, LBS Marg",Mumbai,Furnished,Family,2,Contact Agent,16
04-06-2022,4,310000,2600,Upper Basement ,Carpet Area,Lokhandwala Complex,Mumbai,Unfurnished,Family,4,Contact Agent,20
30-06-2022,2,50000,680,5,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,14
06-07-2022,3,65000,950,Upper Basement ,Carpet Area,Tilak Nagar - Harbour Line,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,9
18-05-2022,4,210000,1783,5,Carpet Area,GREEN PARK,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner,20
18-05-2022,3,150000,1330,Upper Basement ,Carpet Area,Lodha Ajuro tower lalbag,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,40
10-06-2022,1,32000,565,1,Super Area,"Lake Bloom, Powai",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,8
26-05-2022,1,26000,450,4,Carpet Area,Kalina,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,8
08-06-2022,2,60000,710,5,Carpet Area,"Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,18
09-07-2022,3,190000,1514,34,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,58
16-06-2022,3,100000,1080,5,Carpet Area,Santacruz West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,8
14-05-2022,2,35000,700,5,Carpet Area,"MUKTA MAHEK, Thakur Complex",Mumbai,Unfurnished,Family,2,Contact Agent,8
17-06-2022,3,68000,890,11,Carpet Area,"Kanakia Rainforest, Marol",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,19
08-07-2022,3,150000,1250,5,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,8
04-06-2022,1,18000,300,4,Super Area,Vile Parle West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,6
06-07-2022,2,55000,720,5,Carpet Area,"Dheeraj Swapna Apartment, Pali Hill",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,7
03-07-2022,3,65000,825,20,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,3,Contact Agent,22
04-06-2022,2,80000,500,1,Carpet Area,Vile Parle East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,5
06-07-2022,2,53000,750,12,Carpet Area,"Lake Florence, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,19
17-06-2022,2,80000,750,15,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,18
30-06-2022,1,18000,360,3,Carpet Area,"Anita, Lokhandwala Twp",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,7
23-06-2022,4,250000,1545,65,Carpet Area,"Trump Tower, Worli",Mumbai,Semi-Furnished,Family,5,Contact Agent,78
07-07-2022,1,17500,400,4,Carpet Area,Evershine Nagar,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,4
09-07-2022,3,43000,750,6,Carpet Area,Mahavir Nagar,Mumbai,Unfurnished,Family,2,Contact Agent,16
26-05-2022,1,13500,432,5,Carpet Area,"Hiral Greens, Mira Road East",Mumbai,Unfurnished,Family,2,Contact Agent,8
23-05-2022,2,18000,780,17,Carpet Area,"Man Opus, Mira Road",Mumbai,Unfurnished,Family,2,Contact Agent,22
31-05-2022,2,75000,695,4,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,7
07-07-2022,1,18000,375,6,Carpet Area,"Prasanna Vastu Chs, Jankalyan Nagar",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,24
08-06-2022,3,160000,1095,40,Carpet Area,"Lodha The Park, Worli",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,75
31-05-2022,1,32000,475,4,Carpet Area,Shri Swami Samarth Nagar,Mumbai,Semi-Furnished,Family,2,Contact Agent,4
07-06-2022,2,55000,790,9,Carpet Area,"Vijaya Heritage, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,15
09-07-2022,2,47000,661,19,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,38
21-06-2022,2,35000,700,5,Carpet Area,"Evershine Millenium Paradise, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,7
08-06-2022,1,15000,420,6,Carpet Area,Dahisar East,Mumbai,Semi-Furnished,Family,1,Contact Agent,7
03-07-2022,2,50000,750,5,Carpet Area,D.N. Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,7
25-05-2022,2,25500,950,Ground ,Super Area,Dhanukar Wadi,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner,4
04-07-2022,5,350000,1880,15,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,Family,5,Contact Agent,31
09-06-2022,3,55000,1350,11,Carpet Area,"Ekta Meadows, Borivali East",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,28
04-06-2022,1,25000,330,4,Super Area,Mazgaon,Mumbai,Semi-Furnished,Family,1,Contact Owner,6
04-06-2022,2,50000,750,8,Carpet Area,"Safal Saraswati, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,16
12-06-2022,2,65000,925,10,Carpet Area,"MJ Shah Centrio, Chembur",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,22
14-05-2022,3,50000,1150,17,Carpet Area,"Benzer Tower, Thakur Complex",Mumbai,Semi-Furnished,Family,3,Contact Agent,24
17-06-2022,3,65000,1105,15,Carpet Area,"Hillcrest, Chakala MIDC",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,19
18-05-2022,3,160000,1050,9,Carpet Area,Khar,Mumbai,Furnished,Bachelors,3,Contact Agent,10
27-06-2022,1,25000,410,4,Carpet Area,Friends Colony,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent,8
30-06-2022,1,32000,460,7,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,12
22-05-2022,1,21000,600,2,Super Area,Reay road east,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
05-06-2022,1,20000,570,6,Super Area,"Leo Ratnakar, Mahavir Nagar",Mumbai,Furnished,Bachelors/Family,2,Contact Owner,7
05-07-2022,2,55000,720,8,Carpet Area,Chembur East,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,20
11-05-2022,1,32000,500,4,Carpet Area,Chirag Nagar,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner,4
18-05-2022,4,150000,1460,11,Carpet Area,"Insignia, Bandra East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,13
08-06-2022,1,30000,415,5,Carpet Area,"Ekta Meadows, Borivali East",Mumbai,Unfurnished,Bachelors,2,Contact Agent,8
01-06-2022,3,150000,1400,6,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,12
16-06-2022,1,27000,270,1,Carpet Area,Mumbai Central,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,4
09-07-2022,2,47000,585,7,Carpet Area,Gokuldham,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,8
17-05-2022,4,150000,1755,9,Carpet Area,"Ekta Legranz, Chembur",Mumbai,Unfurnished,Family,4,Contact Agent,19
14-05-2022,1,27000,550,4,Carpet Area,Borivali West,Mumbai,Furnished,Family,2,Contact Owner,7
09-07-2022,3,160000,1300,37,Carpet Area,"Lodha Primero, Mahalakshmi",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,51
20-06-2022,2,100000,1200,6,Super Area,Mount Mary,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,11
06-07-2022,2,45002,600,9,Carpet Area,"Raheja Vista, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,17
06-07-2022,2,48000,700,8,Carpet Area,"Sundew CHS, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,15
16-06-2022,1,18000,385,11,Carpet Area,"Garden View Apartment, Aarey Milk Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,20
18-05-2022,1,7500,500,2,Carpet Area,Suram Park Society,Mumbai,Semi-Furnished,Bachelors,1,Contact Owner,2
13-06-2022,2,50000,850,10,Carpet Area,Film City,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,23
09-07-2022,3,55000,900,Upper Basement ,Carpet Area,Chikuwadi,Mumbai,Semi-Furnished,Family,2,Contact Agent,10
07-07-2022,1,26000,400,4,Carpet Area,"Dheeraj Kiran CHS Walad West, Sunder Nagar",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,7
29-06-2022,2,17000,600,7,Carpet Area,"DB Ozone, Mira Road",Mumbai,Unfurnished,Bachelors,2,Contact Owner,23
14-05-2022,2,40000,750,5,Carpet Area,"Vasant Marvel, Magathane",Mumbai,Semi-Furnished,Family,2,Contact Agent,8
27-06-2022,2,43000,628,4,Carpet Area,Andheri East,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,11
09-07-2022,3,140000,1330,17,Carpet Area,"Lodha Altia, Wadala East",Mumbai,Unfurnished,Bachelors,4,Contact Agent,43
06-07-2022,3,140000,1064,7,Carpet Area,"Rustomjee Seasons, Bandra East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,22
23-05-2022,3,120000,1200,14,Carpet Area,"Stellar Tower, Lokhandwala Complex",Mumbai,Furnished,Family,3,Contact Agent,18
28-05-2022,4,400000,2200,6,Carpet Area,Juhu,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,10
07-07-2022,2,21000,630,8,Carpet Area,Beverly Park,Mumbai,Semi-Furnished,Family,2,Contact Agent,12
30-06-2022,2,40000,650,3,Carpet Area,Sindhi Society Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,7
31-05-2022,2,40000,845,7,Super Area,Vikhroli West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,8
09-07-2022,3,230000,1915,3,Super Area,"Ashok tower, Parel",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,18
12-06-2022,2,20000,900,7,Super Area,Mira Road,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,7
18-05-2022,2,60000,807,14,Carpet Area,"Auris Serenity, Malad West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,58
27-05-2022,2,35000,1100,Ground ,Super Area,Mulund East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
08-06-2022,3,300000,1600,18,Super Area,"Chaitanya Towers, Prabhadevi",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Owner,23
25-05-2022,2,6500,790,3,Super Area,"Deep Heights, Nalasopara",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,7
05-05-2022,1,15000,380,19,Carpet Area,sra,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,19
07-07-2022,2,38000,650,4,Carpet Area,"Ahimsa Marg, Mindspace",Mumbai,Unfurnished,Family,2,Contact Agent,10
27-05-2022,2,35000,800,9,Carpet Area,Borivali East,Mumbai,Semi-Furnished,Family,2,Contact Agent,20
10-05-2022,2,32000,830,13,Super Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,14
29-05-2022,1,16000,410,Ground ,Carpet Area,Mamletdarwadi,Mumbai,Unfurnished,Bachelors,1,Contact Owner,4
01-06-2022,1,33000,428,7,Carpet Area,"Crescent Solitaire, Sakinaka Junction",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,11
23-05-2022,1,8500,550,3,Super Area,Thane-Kalyan-Dombivli,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,5
17-06-2022,2,60000,630,11,Carpet Area,Central Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,22
27-06-2022,1,20000,550,5,Super Area,Rock garden Chs,Mumbai,Unfurnished,Bachelors,2,Contact Owner,7
28-05-2022,1,38000,450,4,Carpet Area,"Juveria Apartment, Mazgaon",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,8
04-06-2022,2,100000,750,Upper Basement ,Carpet Area,"Lodha NCP Commercial , Wadala",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,30
25-06-2022,2,65000,800,12,Carpet Area,"Kabra Centroid, Santacruz East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,14
01-07-2022,3,80000,1050,16,Carpet Area,"HDIL Metropolis, Andheri West",Mumbai,Furnished,Family,3,Contact Agent,31
06-07-2022,2,85000,850,1,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors,2,Contact Agent,8
20-06-2022,4,600000,2500,12,Carpet Area,"Mount Marry, Bandra West",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,13
23-06-2022,3,150000,2000,6,Carpet Area,"Saraswati Sadan, Parel",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,7
